workbook_name,workbook_path,sheet_name,sheet_index,sheet_state,classification,classification_reasons,is_overview_sheet,overview_reasons,detected_budget,detected_agency_fee,paid_section_detected,paid_section,paid_section_location,paid_relative_to_profiles,paid_included_in_main_budget,profile_section_detected,profile_section,profile_section_location,likely_profile_size_cells,profile_row_count,current_profile_size_values,normalized_profile_tiers_found,invalid_or_legacy_profile_values,supported_channels_found,unsupported_channels_found,cpm_values_detected,diff_detected,formula_cache_warnings,notes,warnings,max_row,max_column,non_empty_cell_count
#5184 Moccamaster Kalkyl (V.A).xlsx,data/reference_workbooks/raw/#5184 Moccamaster Kalkyl (V.A).xlsx,1. Kalkylmall Paid + Org.,0,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 500000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 163400, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 8}",A17 (row 17),B18; B19; B20; B21; B22; B23; B24; B25,8,B18=Profile á 50-70K; B19=Profile á 80-100K; B20=Profile á 80-100K; B21=Profile á 80-100K; B22=Profile á 50-70K; B23=Profile á 80-100K; B24=Profile á 100-150K; B25=Profile á 100-150K,,B18=Profile á 50-70K; B19=Profile á 80-100K; B20=Profile á 80-100K; B21=Profile á 80-100K; B22=Profile á 50-70K; B23=Profile á 80-100K; B24=Profile á 100-150K; B25=Profile á 100-150K,Instagram; TikTok,,Instagram@G18=500; Instagram@G19=500; Instagram@G20=500; Instagram@G21=500; TikTok@G22=375; TikTok@G23=375; TikTok@G24=375; TikTok@G25=375,,,Paid section appears before profile section and is included in main budget context.; Legacy or invalid profile size values were preserved without coercion.,,41,17,495
#5184 Moccamaster Kalkyl (V.A).xlsx,data/reference_workbooks/raw/#5184 Moccamaster Kalkyl (V.A).xlsx,2. Kalkylmall Paid + Org.,1,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 500000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 160826, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 12}",A17 (row 17),B18; B19; B20; B21; B22; B23; B24; B25; B26; B27; B28; B29,12,B18=Profile á 30-70K; B19=Profile á 30-70K; B20=Profile á 50-70K; B21=Profile á 50-70K; B22=Profile á 50-100K; B23=Profile á 50-100K; B24=Profile á 30-70K; B25=Profile á 30-70K; B26=Profile á 30-70K; B27=Profile á 50-100K; B28=Profile á 50-100K; B29=Profile á 50-100K,,B18=Profile á 30-70K; B19=Profile á 30-70K; B20=Profile á 50-70K; B21=Profile á 50-70K; B22=Profile á 50-100K; B23=Profile á 50-100K; B24=Profile á 30-70K; B25=Profile á 30-70K; B26=Profile á 30-70K; B27=Profile á 50-100K; B28=Profile á 50-100K; B29=Profile á 50-100K,Instagram; TikTok,,Instagram@G18=500; Instagram@G19=500; Instagram@G20=500; Instagram@G21=500; Instagram@G22=500; Instagram@G23=500; TikTok@G24=375; TikTok@G25=375; TikTok@G26=375; TikTok@G27=375; TikTok@G28=375; TikTok@G29=375,,,Paid section appears before profile section and is included in main budget context.; Legacy or invalid profile size values were preserved without coercion.,,45,17,558
#5196 Salins Kalkyl NL (V.A).xlsx,data/reference_workbooks/raw/#5196 Salins Kalkyl NL (V.A).xlsx,Kalkylmall Paid + Org.,0,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 325000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 96525, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 5}",A17 (row 17),B18; B19; B20; B21; B22,5,B18=33; B19=70; B20=70; B21=30; B22=50,,B18=33; B19=70; B20=70; B21=30; B22=50,Instagram; TikTok,,Instagram@G18=860; Instagram@G19=860; TikTok@G20=860; TikTok@G21=860; TikTok@G22=860,,,Paid section appears before profile section and is included in main budget context.; Legacy or invalid profile size values were preserved without coercion.,,38,17,460
#5212 GBFoods Kalkyl (V.A).xlsx,data/reference_workbooks/raw/#5212 GBFoods Kalkyl (V.A).xlsx,Kalkylmall Paid + Org.,0,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 100000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 33898, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 3}",A17 (row 17),B18; B19; B20,3,B18=Profile á 50-80 K; B19=Profile á 50-80 K; B20=Profile á 50-80 K,,B18=Profile á 50-80 K; B19=Profile á 50-80 K; B20=Profile á 50-80 K,Instagram; TikTok,,Instagram@G18=570; Tiktok@G19=430; Tiktok@G20=430,,,Paid section appears before profile section and is included in main budget context.; Legacy or invalid profile size values were preserved without coercion.,,36,17,429
#5212 GBFoods Kalkyl (V.A).xlsx,data/reference_workbooks/raw/#5212 GBFoods Kalkyl (V.A).xlsx,ME Kalkylmall Paid + Org.,1,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 100000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 29116, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 2}",A17 (row 17),B18; B19,2,B18=Profile á 50-100K; B19=Profile á 50-90K,,B18=Profile á 50-100K; B19=Profile á 50-90K,Instagram; TikTok,,Instagram@G18=570; Tiktok@G19=430,,,Paid section appears before profile section and is included in main budget context.; Legacy or invalid profile size values were preserved without coercion.,,35,17,414
#5223 Vitadora Kalkyl (V.A).xlsx,data/reference_workbooks/raw/#5223 Vitadora Kalkyl (V.A).xlsx,Kalkylmall Paid + Org.,0,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 250000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 76874, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 4}",A17 (row 17),B18; B19; B20; B21,4,B18=30-70K; B19=30-70K; B20=50-80K; B21=50-80K,,B18=30-70K; B19=30-70K; B20=50-80K; B21=50-80K,Instagram,,Instagram@G18=700; Instagram@G19=700; Instagram@G20=700; Instagram@G21=700,,,Paid section appears before profile section and is included in main budget context.; Legacy or invalid profile size values were preserved without coercion.,,37,17,444
#5242 SJ Kalkyl (V.A).xlsx,data/reference_workbooks/raw/#5242 SJ Kalkyl (V.A).xlsx,NY ME Kalkylmall Org.,0,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 388000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 115394, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A23"", ""label_value"": ""Paid"", ""row"": 23}",A23,after_profiles,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 7}",A8 (row 8),B9; B10; B11; B12; B13; B14; B15,7,B9=125; B10=125; B11=75; B12=125; B13=75; B14=75; B15=-,75000; 125000,B15=-,Instagram; TikTok,Snapchat,Instagram@G9=575; Instagram@G10=575; Instagram@G11=575; TikTok@G12=430; TikTok@G13=430; TikTok@G14=430; Snapchat@G15=430,,,Paid section appears after profile section and is excluded from main optimization.; Legacy or invalid profile size values were preserved without coercion.,,33,29,428
#5242 SJ Kalkyl (V.A).xlsx,data/reference_workbooks/raw/#5242 SJ Kalkyl (V.A).xlsx,CO Kalkylmall Org.,1,visible,legacy_reference_only,Template-like sheet name.,False,,,,True,"{""label_cell"": ""A17"", ""label_value"": ""Paid (Nine hanterar ej)"", ""row"": 17}",A17,after_profiles,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A2"", ""header_row"": 2, ""row_count"": 7}",A2 (row 2),B3; B4; B5; B6; B7; B8; B9,7,B3=125; B4=125; B5=75; B6=125; B7=75; B8=75; B9=-,75000; 125000,B9=-,Instagram; TikTok,Snapchat,Instagram@G3=485; Instagram@G4=485; Instagram@G5=485; TikTok@G6=365; TikTok@G7=365; TikTok@G8=365; Snapchat@G9=365,,,Paid section appears after profile section and is excluded from main optimization.; Legacy or invalid profile size values were preserved without coercion.,,26,29,363
#5242 SJ Kalkyl (V.A).xlsx,data/reference_workbooks/raw/#5242 SJ Kalkyl (V.A).xlsx,ME Kalkylmall Org.,2,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 388000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 119929, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A24"", ""label_value"": ""Paid"", ""row"": 24}",A24,after_profiles,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 8}",A8 (row 8),B9; B10; B11; B12; B13; B14; B15; B16,8,B9=125; B10=125; B11=75; B12=125; B13=125; B14=75; B15=-; B16=-,75000; 125000,B15=-; B16=-,Instagram; TikTok,Snapchat,Instagram@G9=480; Instagram@G10=480; Instagram@G11=480; TikTok@G12=360; TikTok@G13=360; TikTok@G14=360; Snapchat@G15=360; Snapchat@G16=360,,,Paid section appears after profile section and is excluded from main optimization.; Legacy or invalid profile size values were preserved without coercion.,,34,29,444
#5242 SJ Kalkyl (V.A).xlsx,data/reference_workbooks/raw/#5242 SJ Kalkyl (V.A).xlsx,ME Kalkylmall Paid + Org + Nepa,3,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 756600, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 237105, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A34"", ""label_value"": ""Paid"", ""row"": 34}",A34,after_profiles,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A10"", ""header_row"": 10, ""row_count"": 15}",A10 (row 10),B11; B12; B13; B14; B15; B16; B17; B18; B19; B20; B21; B22; B23; B24; B25,15,B11=125; B12=125; B13=125; B14=75; B15=75; B16=75; B17=125; B18=125; B19=125; B20=75; B21=75; B22=75; B23=-; B24=-; B25=-,75000; 125000,B23=-; B24=-; B25=-,Instagram; TikTok,Snapchat,Instagram@G11=480; Instagram@G12=480; Instagram@G13=480; Instagram@G14=480; Instagram@G15=480; Instagram@G16=480; TikTok@G17=360; TikTok@G18=360; TikTok@G19=360; TikTok@G20=360; TikTok@G21=360; TikTok@G22=360; Snapchat@G23=360; Snapchat@G24=360; Snapchat@G25=360,,,Paid section appears after profile section and is excluded from main optimization.; Legacy or invalid profile size values were preserved without coercion.,,45,29,523
